Film Title,IMDb Rating,Letterboxd Rating,Director,Lead Cast,Year of Release,Genre,Plot,Runtime
The Departed,8.5,4.3,Martin Scorsese,Leonardo DiCaprio Matt Damon Jack Nicholson,2006,Crime,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,151
The Lion King,8.5,4.2,Roger Allers,Matthew Broderick Jeremy Irons James Earl Jones,1994,Animation,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",88
The Pianist,8.5,4.3,Roman Polanski,Adrien Brody Thomas Kretschmann Frank Finlay,2002,Biography,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,150
The Green Mile,8.5,4.3,Frank Darabont,Tom Hanks Michael Clarke Duncan David Morse,1999,Crime,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",189
Interstellar,8.6,4.3,Christopher Nolan,Matthew McConaughey Anne Hathaway Jessica Chastain,2014,Adventure,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,169
Gladiator,8.5,4.3,Ridley Scott,Russell Crowe Joaquin Phoenix Connie Nielsen,2000,Action,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,155
American History X,8.5,4.2,Tony Kaye,Edward Norton Edward Furlong Beverly D'Angelo,1998,Drama,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,119
City of God,8.6,4.4,Fernando Meirelles,Alexandre Rodrigues Leandro Firmino Phellipe Haagensen,2002,Crime,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",130
The Silence of the Lambs,8.6,4.4,Jonathan Demme,Jodie Foster Anthony Hopkins Lawrence A. Bonney,1991,Crime,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",118
It's a Wonderful Life,8.6,4.3,Frank Capra,James Stewart Donna Reed Lionel Barrymore,1946,Drama,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,130
Se7en,8.6,4.3,David Fincher,Morgan Freeman Brad Pitt Kevin Spacey,1995,Crime,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",127
Life Is Beautiful,8.6,4.4,Roberto Benigni,Roberto Benigni Nicoletta Braschi Giorgio Cantarini,1997,Comedy,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",116
The Usual Suspects,8.5,4.3,Bryan Singer,Kevin Spacey Gabriel Byrne Chazz Palminteri,1995,Crime,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",106
Leon: The Professional,8.5,4.3,Luc Besson,Jean Reno Gary Oldman Natalie Portman,1994,Crime,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",110
Spirited Away,8.5,4.4,Hayao Miyazaki,Daveigh Chase Suzanne Pleshette Miyu Irino,2001,Animation,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",125
Saving Private Ryan,8.5,4.3,Steven Spielberg,Tom Hanks Matt Damon Tom Sizemore,1998,Drama,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",169
The Departed,8.5,4.3,Martin Scorsese,Leonardo DiCaprio Matt Damon Jack Nicholson,2005,Thriller,"An undercover agent and a spy constantly try to counter-attack each other in order to save themselves being exposed in front of the authorities. Meanwhile, both try to infiltrate an Irish gang.",151
Spirited Away,8.6,4.5,Hayao Miyazaki,,2001,Fantasy,"Ten-year-old Chihiro and her parents end up at an abandoned amusement park inhabited by supernatural beings. Soon, she learns that she must work to free her parents who have been turned into pigs",125
